Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,43.000000,43.200001,42.419998,43.200001,35.476116,1343800
2016-06-02,43.500000,44.619999,43.470001,44.389999,36.453346,2477700
2016-06-03,44.349998,44.980000,44.110001,44.830002,36.814674,1635800
2016-06-06,44.810001,45.430000,44.759998,45.139999,37.069252,2017200
2016-06-07,45.419998,46.709999,45.349998,46.650002,38.309273,2908900
2016-06-08,46.910000,47.049999,45.810001,46.060001,37.824772,2917900
2016-06-09,45.919998,45.950001,45.400002,45.730000,37.553753,1043100
2016-06-10,45.410000,45.410000,44.860001,45.369999,37.258125,1298400
2016-06-13,45.000000,45.250000,44.869999,44.900002,36.872169,1059900
2016-06-14,44.860001,44.900002,44.389999,44.490002,36.535473,1447100
2016-06-15,44.730000,45.400002,44.549999,45.040001,36.987137,1124300
2016-06-16,44.240002,44.299999,42.930000,43.549999,36.205650,2169700
2016-06-17,43.470001,44.240002,43.430000,43.610001,36.255535,2862500
2016-06-20,44.150002,44.360001,43.900002,43.919998,36.513260,1100600
2016-06-21,44.189999,44.419998,43.889999,44.250000,36.787605,688000
2016-06-22,44.380001,44.730000,44.209999,44.540001,37.028698,1386700
2016-06-23,44.849998,45.040001,44.590000,44.919998,37.344612,1117500
2016-06-24,42.860001,44.580002,42.840000,44.049999,36.621330,1569800
2016-06-27,43.509998,43.750000,43.110001,43.349998,36.039375,3365100
2016-06-28,43.990002,44.220001,43.549999,44.110001,36.671223,1001600
2016-06-29,44.509998,44.639999,43.860001,44.090000,36.654583,1678600
2016-06-30,44.150002,44.410000,43.849998,44.189999,36.737728,1397900
2016-07-04,44.250000,44.599998,44.230000,44.410000,36.920628,488500
2016-07-05,44.270000,44.590000,43.820000,44.299999,36.829178,816900
2016-07-06,44.000000,44.169998,43.580002,44.169998,36.721100,1109700
2016-07-07,44.240002,44.419998,43.779999,43.990002,36.571453,613900
2016-07-08,44.099998,44.400002,43.930000,43.980000,36.563137,958700
2016-07-11,44.200001,44.419998,44.020000,44.180000,36.729412,1009000
2016-07-12,44.400002,45.000000,44.389999,44.930000,37.352924,1164000
2016-07-13,45.000000,45.410000,44.889999,45.349998,37.702099,1192500
2016-07-14,45.619999,45.799999,45.570000,45.650002,37.951500,794500
2016-07-15,45.740002,45.750000,45.380001,45.520000,37.843430,585500
2016-07-18,45.480000,45.599998,44.939999,45.029999,37.436054,791100
2016-07-19,45.049999,45.250000,44.860001,44.980000,37.394497,683600
2016-07-20,45.099998,45.250000,44.930000,45.150002,37.535828,745200
2016-07-21,45.200001,45.209999,44.730000,44.860001,37.294739,749200
2016-07-22,44.919998,45.299999,44.910000,45.070000,37.469322,762000
2016-07-25,45.080002,45.150002,44.919998,44.980000,37.394497,436900
2016-07-26,45.020000,45.189999,44.919998,45.090000,37.485950,799100
2016-07-27,45.200001,45.419998,44.919998,45.040001,37.444378,839400
2016-07-28,45.099998,45.349998,44.709999,44.840000,37.278107,772800
2016-07-29,44.750000,45.060001,44.700001,44.709999,37.170029,671700
2016-08-02,44.549999,44.560001,44.060001,44.180000,36.729412,1491000
2016-08-03,44.189999,44.520000,44.130001,44.250000,36.787605,672600
2016-08-04,44.250000,44.369999,43.930000,44.139999,36.696152,729500
2016-08-05,44.250000,44.680000,44.250000,44.529999,37.020382,584600
2016-08-08,44.660000,45.380001,44.619999,45.310001,37.668842,1106100
2016-08-09,45.389999,45.939999,45.290001,45.869999,38.134415,1156300
2016-08-10,45.680000,46.029999,45.639999,45.830002,38.101154,1258400
2016-08-11,46.000000,46.130001,45.950001,46.119999,38.342255,834200
2016-08-12,45.970001,46.049999,45.750000,45.970001,38.217545,575900
2016-08-15,46.000000,46.070000,45.540001,45.939999,38.192612,554000
2016-08-16,45.880001,46.000000,45.660000,45.810001,38.084526,548700
2016-08-17,45.860001,46.090000,45.709999,45.889999,38.151035,544100
2016-08-18,45.860001,45.869999,45.450001,45.740002,38.026340,1667300
2016-08-19,45.660000,46.150002,45.369999,46.020000,38.259113,899900
2016-08-22,45.959999,46.230000,45.680000,46.119999,38.342255,756400
2016-08-23,46.209999,47.000000,46.209999,46.770000,38.882633,1453400
2016-08-24,46.869999,47.340000,46.820000,47.110001,39.165287,1106700
2016-08-25,47.080002,47.189999,46.759998,46.950001,39.032276,923200
2016-08-26,47.000000,47.200001,46.889999,46.970001,39.048904,721300
2016-08-29,47.090000,47.200001,46.970001,47.119999,39.173607,957800
2016-08-30,47.200001,47.750000,47.200001,47.580002,39.556030,1261000
2016-08-31,47.200001,47.200001,45.900002,46.090000,38.317310,2617300
2016-09-01,46.200001,46.840000,46.200001,46.570000,38.716354,2124100
2016-09-02,46.790001,47.270000,46.599998,46.840000,38.940819,1301900
2016-09-06,46.869999,47.450001,46.849998,47.380001,39.389755,1095500
2016-09-07,47.299999,47.580002,47.180000,47.570000,39.547722,1114700
2016-09-08,47.570000,47.889999,47.450001,47.570000,39.547722,821800
2016-09-09,47.529999,47.660000,47.369999,47.549999,39.531094,774200
2016-09-12,47.299999,47.500000,47.259998,47.470001,39.464588,836400
2016-09-13,47.270000,47.290001,46.950001,46.970001,39.048904,1145800
2016-09-14,46.860001,47.200001,46.849998,46.950001,39.032276,901300
2016-09-15,47.020000,47.549999,47.009998,47.310001,39.331558,798300
2016-09-16,47.200001,47.299999,46.910000,47.130001,39.181919,1892800
2016-09-19,47.340000,47.980000,47.250000,47.570000,39.547722,1164600
2016-09-20,47.759998,47.919998,47.650002,47.650002,39.614223,887200
2016-09-21,47.799999,47.849998,47.270000,47.560001,39.539410,1637900
2016-09-22,47.180000,47.340000,46.930000,46.970001,39.505760,1233000
2016-09-23,46.919998,47.029999,46.529999,46.759998,39.329136,805000
